Date,Close/Last,Volume,Open,High,Low
10/17/2024,$416.72,14820000,$422.36,$422.50,$415.59
10/16/2024,$416.12,15508930,$415.17,$416.36,$410.48
10/15/2024,$418.74,18900200,$422.18,$422.48,$415.26
10/14/2024,$419.14,16653090,$417.77,$424.04,$417.52
10/11/2024,$416.32,14144940,$416.135,$417.13,$413.25
10/10/2024,$415.84,13848380,$415.225,$417.35,$413.15
10/09/2024,$417.46,14974260,$415.86,$420.38,$414.30
10/08/2024,$414.71,19229260,$410.90,$415.66,$408.17
10/07/2024,$409.54,20919760,$416.00,$417.11,$409.00
10/04/2024,$416.06,19190910,$418.24,$419.75,$414.97
10/03/2024,$416.54,13686420,$417.63,$419.55,$414.29
10/02/2024,$417.13,16582260,$422.58,$422.82,$416.71
10/01/2024,$420.69,19092950,$428.45,$428.48,$418.81
09/30/2024,$430.30,16854610,$428.21,$430.42,$425.37
09/27/2024,$428.02,14896130,$431.52,$431.85,$427.47
09/26/2024,$431.31,14492040,$435.085,$435.30,$429.13
09/25/2024,$432.11,13396360,$429.83,$433.119,$428.57
09/24/2024,$429.17,17015750,$433.00,$433.35,$426.10
09/23/2024,$433.51,15128890,$434.28,$436.46,$430.3889
09/20/2024,$435.27,55167110,$437.22,$439.24,$434.22
09/19/2024,$438.69,21706560,$441.225,$441.50,$436.90
09/18/2024,$430.81,18898040,$435.00,$436.03,$430.41
